,child_context,parent_context,label
2,"их колониального правления, это их правовая система, основанная на общем праве",28 сентября 1998 г. за нарушение правил торговли должностное лицо было,0
3, Международная торговля и туризм изменили положение дел,28 сентября 1998 г. за нарушение правил торговли должностное лицо было,0
4,Растить в душе побег уныния ― преступление.   (c) ,28 сентября 1998 г. за нарушение правил торговли должностное лицо было,0
5,"говорит о том, что российская экономика абсолютно неравномерна. ","природных ресурсов, чтобы они сделали забор воды и провели проверку», ― говорит",0
6,"производство, строительство, инвестиции, сельское хозяйство, коммунальное хозяйство, малое предпринимательство, финансы, рынок","природных ресурсов, чтобы они сделали забор воды и провели проверку», ― говорит",0
7,"социальная история науки и техники, филология, искусствоведение, информационное обеспечение гуманитарных исследований","уран-237 (при переводе на французский язык изотоп, утратив два нейтрона",0
8,"завершённые проекты, такие как ГАС ""Выборы"" или ЕГЭ, позволяют корпорации надеяться", Городская избирательная комиссия утвердила и подписала,0
9,"их колониального правления, это их правовая система, основанная на общем праве","в части 1 устанавливает, что «подведомственность судам дел о привлечении к",0
10,года ― гражданское право и гражданское судоустройство и судопроизводство; по Уставу 23,"в части 1 устанавливает, что «подведомственность судам дел о привлечении к",0
11,"и т. д., и как наука претендует на полное объяснение причин", Внедрена в производство новая сейсмическая станция Intromarin-L. Анализ полученных,0
12,"говорит о том, что российская экономика абсолютно неравномерна. ",Российской Федерации планирует ввести новый финансовый показатель ― «бивалютный индекс». ,0
13," Финансовая сфера, инновации в которой обрушили",Российской Федерации планирует ввести новый финансовый показатель ― «бивалютный индекс». ,0
14,"это не альпинизм, а горный туризм, то есть, не так опасно","далеко, но надеешься сделать своё путешествие интересным ― отправляйся в Польшу. ",0
15,"которыми связано использование водных ресурсов, ― промышленность, сельское хозяйство и коммунальное хозяйство","японский магнитофон, фирменные джинсы и жевательная резинка ""Лёлики-Болики"". ",0
16,"говорит о том, что российская экономика абсолютно неравномерна. ","японский магнитофон, фирменные джинсы и жевательная резинка ""Лёлики-Болики"". ",0
17," [shilo83, nick]   Это искусство, коим большая часть девушек уже","худой мальчик держал двумя руками саксофон, и казалось, что инструмент хочет",0
18,"по их мнению, подняло бы музыкальное искусство на новую высоту. ","худой мальчик держал двумя руками саксофон, и казалось, что инструмент хочет",0
19, 3. Спирин А. С. Современная биология и биологическая безопасность // Вестник РАН,"R. U. I. T. S. ""Бурундук квартет"", Los Chikatilos), сменяли друг",0
20,"  ― Здесь, внизу, естественная история, зоология и сравнительная анатомия, ― обратил Алексей","R. U. I. T. S. ""Бурундук квартет"", Los Chikatilos), сменяли друг",0
21,"говорит о том, что российская экономика абсолютно неравномерна. ","происходит в том случае, если инфляция превышает за календарный период 6",0
26,"являются естественными, что либерально-капиталистическая экономическая антропология сама собой воспроизведётся после отпадения"," Насмотревшись на облик Тамилы Аласания, Роман уныло констатировал: ему",0
28,"являются естественными, что либерально-капиталистическая экономическая антропология сама собой воспроизведётся после отпадения","лишь косвенно пострадал от них: ливанцы режут друг друга, а что",0
29,так долго — выхода на заслуженный отдых. ,"такого сложного действа, каким является оперный спектакль, важна― независимо от её",0
30," [shilo83, nick]   Это искусство, коим большая часть девушек уже","такого сложного действа, каким является оперный спектакль, важна― независимо от её",0
31,"по их мнению, подняло бы музыкальное искусство на новую высоту. ","такого сложного действа, каким является оперный спектакль, важна― независимо от её",0
32,"краях самым востребованным оказалось именно театральное искусство, никому не понятно. ","такого сложного действа, каким является оперный спектакль, важна― независимо от её",0
33,"социальная история науки и техники, филология, искусствоведение, информационное обеспечение гуманитарных исследований","такого сложного действа, каким является оперный спектакль, важна― независимо от её",0
34," [Gwen, nick]   Литература ― это далеко не только восхваление","такого сложного действа, каким является оперный спектакль, важна― независимо от её",0
35,интересно всё-же это российская медицина такая перестраховочная или в других,"гриппа, все работники вовремя проходят флюорографическое обследование. ",0
36,доверяли Пиа и считали молодое фотоискусство шарлатанством. ,"гриппа, все работники вовремя проходят флюорографическое обследование. ",0
38," Я конечно тоже спорт люблю, но не в таких"," Задолго до того, как дзюдо сделалось в России ""единственно правильным",0
39,"М. Игуменов, Б. А. Подливаев «Спортивная борьба». "," Задолго до того, как дзюдо сделалось в России ""единственно правильным",0
40,"где главными принципами потребления являются мода, новинка, современный комфорт? ","не только тривиальные калоши и валенки, но и граммофон, клетка с",0
41,"оказывается требовался белый халат, сменная обувь, анализ (мамы) на дезгруппу. вечером","не только тривиальные калоши и валенки, но и граммофон, клетка с",0
42," Термин ""религия"" сегодня используется очень широко во","отец Арсений ― по-русски, старик-португалец, православный монах Филипп ― по-португальски, Степан Рогив",0
43,"потому, что втайне желали принять христианство. ","отец Арсений ― по-русски, старик-португалец, православный монах Филипп ― по-португальски, Степан Рогив",0
44,"приобрести издания по следующим направлениям: православие, история, философия, искусство, научно-популярная, художественная","отец Арсений ― по-русски, старик-португалец, православный монах Филипп ― по-португальски, Степан Рогив",0
45,"которыми связано использование водных ресурсов, ― промышленность, сельское хозяйство и коммунальное хозяйство",медицинское использование самоцветов и алмазов Часовая промышленность Самоцветы и алмазы в,0
46,"Их интересовали другие вещи ― физика, инженерное дело, астрономия с географией. ","Их интересовали другие вещи ― физика, инженерное дело, астрономия с географией. ",0
47,интересно всё-же это российская медицина такая перестраховочная или в других,"сердечнососудистые заболевания, самая большая доля ― гипертоническая болезнь (12 процентов). ",0
48,"Но генетика ― это прежде всего физиологическая наука, и ее основная задача","сердечнососудистые заболевания, самая большая доля ― гипертоническая болезнь (12 процентов). ",0
49,интересно всё-же это российская медицина такая перестраховочная или в других,"а врач-интерн, окончивший высшее медицинское учебное заведение с красным дипломом",0
50, Сфера образования для него всегда была,"а врач-интерн, окончивший высшее медицинское учебное заведение с красным дипломом",0
52,"судьбу с мирным процессом, и вооружённый конфликт с Израилем означал бы","богословия, благочинный церквей Красноярского края, ветеран Великой Отечественной войны, под чье",0
53,"констатация факта, что будет осуществляться социальная защита безработных, а оценка её","богословия, благочинный церквей Красноярского края, ветеран Великой Отечественной войны, под чье",0
54," [shilo83, nick]   Это искусство, коим большая часть девушек уже","Золотая подкова"", в туре ""Летняя рапсодия Адыгеи"". ",0
55,"по их мнению, подняло бы музыкальное искусство на новую высоту. ","Золотая подкова"", в туре ""Летняя рапсодия Адыгеи"". ",0
56,"и т. д., и как наука претендует на полное объяснение причин","в научный обиход, 1 однако тогдашняя арабистика по-прежнему была «классической», то есть",0
57,"социальная история науки и техники, филология, искусствоведение, информационное обеспечение гуманитарных исследований","в научный обиход, 1 однако тогдашняя арабистика по-прежнему была «классической», то есть",0
58,так долго — выхода на заслуженный отдых. ,* * *   Предисловие к книге Зорина «Авансцена» написал экс-министр культуры Михаил Швыдкой,0
59,так долго — выхода на заслуженный отдых. ," [agd-ardin, nick]   Еще есть пеший поход до Орехова-Зуева. но",0
60,"это не альпинизм, а горный туризм, то есть, не так опасно"," [agd-ardin, nick]   Еще есть пеший поход до Орехова-Зуева. но",0
62,интересно всё-же это российская медицина такая перестраховочная или в других,жизнь ― на 14-м году вылезла онкология… эх… ,0
63,"их колониального правления, это их правовая система, основанная на общем праве","Стоит только захотеть, а какое-нибудь финансовое нарушение всегда найдется. ",0
64,"условиях Клиники лечебного питания, и кулинарное искусство, пронесшее через века свои","он проскучал в толпе, потом толстая кишка из человеческих тел двинулась",0
65,"  ― Здесь, внизу, естественная история, зоология и сравнительная анатомия, ― обратил Алексей","он проскучал в толпе, потом толстая кишка из человеческих тел двинулась",0
66,"Но генетика ― это прежде всего физиологическая наука, и ее основная задача","он проскучал в толпе, потом толстая кишка из человеческих тел двинулась",0
68,промышленных регионах и городах являются:   автомобильный транспорт;   крупные промышленные предприятия (в,группой конструкторов Нижегородского автозавода многоцелевой автомобиль ГАЗ-39371 «Водник». ,0
69,"которыми связано использование водных ресурсов, ― промышленность, сельское хозяйство и коммунальное хозяйство",беспрецедентные возможности для технологического прогресса (биотехнология и биоинженерия) и революционных прорывов,0
70, Биохимия представлялась Елене большой стеклянной коробкой,беспрецедентные возможности для технологического прогресса (биотехнология и биоинженерия) и революционных прорывов,0
