,child_context,parent_context,label
1,за продажу некачественных товаров и обман покупателей могут вырасти в несколько,28 сентября 1998 г. за нарушение правил торговли должностное лицо было,1
3, Кривая усмешка шевельнула усики на губе Виталии,"видишь его героя, непроизвольно появляется улыбка на лице. ",1
5,основополагающем труде «Капитал» приводится один кулинарный рецепт. ,"Николасу Фламелю ― удалось-таки раскрыть рецепт приготовления философского камня, но он",1
7,"во время «демаршей» Ельцина», ― признаётся завсегдатай форума Иван Иваныч. ","заходить не следует, то пожилой посетитель начнёт допытываться у экскурсоводши, за",1
8,"не входят ни в один бухгалтерский баланс мироздания ― а, наоборот, служат",Российской Федерации планирует ввести новый финансовый показатель ― «бивалютный индекс». ,1
10,"финансового положения предприятий, повышается их платёжеспособность, увеличивается доля денежных средств в",Российской Федерации планирует ввести новый финансовый показатель ― «бивалютный индекс». ,1
11, Таблица 19 Монетизация экономики России (1999 ― 2002 годы,Российской Федерации планирует ввести новый финансовый показатель ― «бивалютный индекс». ,1
12,"если исчезнет лишнее промежуточное звено, собираемость платежей вырастет до 98 процентов",Российской Федерации планирует ввести новый финансовый показатель ― «бивалютный индекс». ,1
14, В то время оценочный показатель доходности вновь созданного акционерного общества,Российской Федерации планирует ввести новый финансовый показатель ― «бивалютный индекс». ,1
15, Рыночная капитализация ВТБ на 29 августа,Российской Федерации планирует ввести новый финансовый показатель ― «бивалютный индекс». ,1
17,"это не альпинизм, а горный туризм, то есть, не так опасно","далеко, но надеешься сделать своё путешествие интересным ― отправляйся в Польшу. ",1
18,"в 1938 году вышла книжка ""Паломничество в Каталонию"", в которой он","далеко, но надеешься сделать своё путешествие интересным ― отправляйся в Польшу. ",1
19,"Испытуемый Р.: рис. 1― море, круиз; рис. 2― тот же пароход","далеко, но надеешься сделать своё путешествие интересным ― отправляйся в Польшу. ",1
21,"что это был не просто спортивный поход к вершине планеты, а","далеко, но надеешься сделать своё путешествие интересным ― отправляйся в Польшу. ",1
25,"в дальнейшем ""Тур"" и / или ""Туристическая поездка"". ","далеко, но надеешься сделать своё путешествие интересным ― отправляйся в Польшу. ",1
26,"мореплавателя, Фернана Магеллана, совершает первое кругосветное путешествие… ","далеко, но надеешься сделать своё путешествие интересным ― отправляйся в Польшу. ",1
32,"белый, причем самых «природных» оттенков (жемчужный, цвет яичной скорлупы, цвет веревки"," Это внешняя черта, но она говорит о",1
37,все растения имеют здоровый и ухоженный вид. ," Это внешняя черта, но она говорит о",1
40,"и роскошные округлые бёдра, но женственность ещё не проснулась в ней"," Это внешняя черта, но она говорит о",1
41,"волос, глаз, цвета кожи и особенности телосложения сочетались в потомках кхмеро"," Это внешняя черта, но она говорит о",1
42," Участочек тогда был абсолютно запущенный, неухоженный, вообще никакой. "," Это внешняя черта, но она говорит о",1
43,"церковное; предполагало, что Киевский митрополит ― глава Церкви ― переехал бы к себе",в лондонском Королевском колледже врачей глава организации Маргарет Чен сообщила о,1
44,"  «Либерализм умер повсеместно, — считает президент организации «Общественный диалог» Татьяна Булах",в лондонском Королевском колледже врачей глава организации Маргарет Чен сообщила о,1
45," Кстати, поясняет глава предприятия, ДОСТ никого насильно не",в лондонском Королевском колледже врачей глава организации Маргарет Чен сообщила о,1
46,"решило пойти на эксперимент рассказывает директор организации-заказчика, ООО «Партнер-строй",в лондонском Королевском колледже врачей глава организации Маргарет Чен сообщила о,1
47," Магомед Хазбиев, председатель организации «Мехк-кхел», называющей себя",в лондонском Королевском колледже врачей глава организации Маргарет Чен сообщила о,1
64,как бессмертные боги).   В Норрате гиперинфляция.  Начинающие игроки не в состоянии,"происходит в том случае, если инфляция превышает за календарный период 6",1
79,"конструкторском бюро которого работала Елена, медицинский институт с клиниками и два","а врач-интерн, окончивший высшее медицинское учебное заведение с красным дипломом",1
80,"школу, выбрала для поступления Новгородское медицинское училище, я спрашивать не стал","а врач-интерн, окончивший высшее медицинское учебное заведение с красным дипломом",1
84,"даже в родильном отделении, холод, недостача дров, медикаментов, перевязочных материалов… ","Стоит только захотеть, а какое-нибудь финансовое нарушение всегда найдется. ",1
85," Но взрыв ― это не финансовое преступление, это террор. ","Стоит только захотеть, а какое-нибудь финансовое нарушение всегда найдется. ",1
86,"  «Открытые системы» объявляют конкурс Главный приз ― автомобиль «ГАЗЕЛЬ»   Издательство «Открытые системы», издающее",группой конструкторов Нижегородского автозавода многоцелевой автомобиль ГАЗ-39371 «Водник». ,1
88,для технологического прогресса (биотехнология и биоинженерия) и революционных прорывов в медицине,беспрецедентные возможности для технологического прогресса (биотехнология и биоинженерия) и революционных прорывов,1
95," Когда городская земля становится слишком дорогой, здания"," Альманах.  М., Издательский дом ""Городская собственность"", 1999.   Материалы, опубликованные в",1
96,"пристав, местный присяжный поверенный, казённый раввин и просто раввин, отставной полковник"," Он мне сразу: ""Я служитель культа ― поп"". ― ""А вы, говорю",1
97,"более достойных наследников, чем этот христианский священнослужитель. "," Он мне сразу: ""Я служитель культа ― поп"". ― ""А вы, говорю",1
98,"  - Ты монах, ― сказал ему на прощание Владыка"," Он мне сразу: ""Я служитель культа ― поп"". ― ""А вы, говорю",1
100,и будешь ты у нас церковнослужитель! ," Он мне сразу: ""Я служитель культа ― поп"". ― ""А вы, говорю",1
101,"заключалась именно в том, что религиозный проповедник потеснил, а потом и"," Он мне сразу: ""Я служитель культа ― поп"". ― ""А вы, говорю",1
102," Танцующий барс, первобытный жрец, цирковой борец и заклинатель пространства"," Он мне сразу: ""Я служитель культа ― поп"". ― ""А вы, говорю",1
105,"совершенно справедливо недавно заметил высокий церковный иерарх, что противники возрождения России"," Он мне сразу: ""Я служитель культа ― поп"". ― ""А вы, говорю",1
106,"второго рода неожиданно выделился королевский капеллан и математик, вчерашний шифровальщик при"," Он мне сразу: ""Я служитель культа ― поп"". ― ""А вы, говорю",1
107,законам авантюрного жанра именно эта монахиня и была наиболее опасным членом," Он мне сразу: ""Я служитель культа ― поп"". ― ""А вы, говорю",1
108," Магистр Ордена Розовых Кругов, погибший мастер"," Он мне сразу: ""Я служитель культа ― поп"". ― ""А вы, говорю",1
109,"Короче, за день я проделал чудодейственный маршрут: от воровства ― к литературе"," [ЭХО, nick]   Эффективный менеджмент никогда не шел по",1
110," «Предоплаченные карты ― удобный, технологичный инструмент, который позволяет нашим заемщикам"," [ЭХО, nick]   Эффективный менеджмент никогда не шел по",1
111,"духе все тех же семидесятых, электрогитара. ","качестве источника аналогового колебания использовался электромузыкальный инструмент терменвокс, генерирующий квазимонохроматические сигналы",1
112,"ISE будем именовать Web- Pack, синтезатор LeonardoSpectrum будем называть Leonardo, полузаказную","качестве источника аналогового колебания использовался электромузыкальный инструмент терменвокс, генерирующий квазимонохроматические сигналы",1
120,"назвать важными и серьёзными, ― это мелкооптовая торговля, медленное умирание с голоду"," [vlaad2210, муж]   Оптовая торговля ― это не просто РАБОТА",1
122,"силовыми ведомствами окончательно и бесповоротно"".   ""Чеченцы из палаток"" проголосуют за Кадырова","вайнахских башнях, значит, они вайнахские (вайнахи ― предки чеченцев и ингушей). ",1
123,"населённых пунктах, где совместно проживают ингуши и осетины. ","вайнахских башнях, значит, они вайнахские (вайнахи ― предки чеченцев и ингушей). ",1
124,чего достигло к тому времени гидротехническое строительство. ,"строительных материалов, вести дорожное и промышленное строительство. ",1
125,всё красное… а причёска и серьга ― супер!! ,"И почему многие думают, что ювелирное изделие можно изготовить на раз",1
126,"и толстое золотое с бриллиантами колье, кольцо и серьги. ","И почему многие думают, что ювелирное изделие можно изготовить на раз",1
127," Sonya, 2004. 09. 0909: 46.   кольцо― украшение Murk, 2004. 09. 0911: 52","И почему многие думают, что ювелирное изделие можно изготовить на раз",1
131,"кончикам пальцев было очень больно, запонка порой крепко кусала дряблую кожицу","И почему многие думают, что ювелирное изделие можно изготовить на раз",1
132,"и оставила мне в наследство брошь, которую подарил Георгий Иванов, когда","И почему многие думают, что ювелирное изделие можно изготовить на раз",1
133," Над могилой Евреинова ― медальон с его изображением, рядом ― биолог","И почему многие думают, что ювелирное изделие можно изготовить на раз",1
135,школе ― это большая редкость и драгоценность! ,"И почему многие думают, что ювелирное изделие можно изготовить на раз",1
140," Его можно растянуть по времени до бесконечности, если"," Стоит где-то затянуть по времени, сыграть неуверенно или",1
155,"последних маршалов СССР, получивших это почётное звание за реальные боевые заслуги",сказать… Фильм не понапрасну носит звание Классики Советского Кино. ,1
156,"сейчас он сообщит мне своё воинское звание, партийный стаж и предъявит",сказать… Фильм не понапрасну носит звание Классики Советского Кино. ,1
157,"сам по себе научный статус (учёная степень, звание) практикующему психологу нужен",сказать… Фильм не понапрасну носит звание Классики Советского Кино. ,1
158,"жену, корову, изобретение, должность или учёное звание. ",сказать… Фильм не понапрасну носит звание Классики Советского Кино. ,1
159, Этот 4-й классный чин государственной службы по табели,сказать… Фильм не понапрасну носит звание Классики Советского Кино. ,1
160," Лидер ― единственное спортивное звание, которым наградить невозможно. ",сказать… Фильм не понапрасну носит звание Классики Советского Кино. ,1
161, Духовный сан не помешал родителю просвистеть,сказать… Фильм не понапрасну носит звание Классики Советского Кино. ,1
162,"в прошлом году жаловала генерал-лейтенанту дворянский титул, называла его ""сэр Майк",сказать… Фильм не понапрасну носит звание Классики Советского Кино. ,1
163,"партнёров по сборной на сенсационное чемпионство в командном зачёте, а потом",сказать… Фильм не понапрасну носит звание Классики Советского Кино. ,1
164,"на Уимблдоне рекордный 13-й титул победителя турнира «Большого шлема», Пит",сказать… Фильм не понапрасну носит звание Классики Советского Кино. ,1
168," То есть, если генератор случайных чисел выдаст для данного","будут производиться газовые турбины ― высокотехнологичное энергетическое оборудование, оправданно считающееся вершиной энергомашиностроительного",1
170, Энергосиловая установка для электромобиля: бензиновый двигатель,"будут производиться газовые турбины ― высокотехнологичное энергетическое оборудование, оправданно считающееся вершиной энергомашиностроительного",1
180,"до уровня знахарки.  Нормальный официальный медицинский диагноз: сорвал пуп?  Хотя, если","жизнь женщины была спасена, такое медицинское заключение привело бы на скамью",1
